revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
1484.0,3.0,0.25,486.0,5000.0,17717.330429437272
1797.0,3.0,0.31,577.0,283.86,10146.957094539635
2986.0,0.0,0.74,446.6,5000.0,11837.808210233152
1930.0,3.0,0.32,599.0,948.83,10379.81877962131
4771.0,0.0,0.47,630.0,5000.0,19719.5017886146
2600.0,2.0,0.26,686.6,10000.0,500.0
4778.0,0.0,0.64,614.0,5000.0,8980.312053464007
2248.0,0.0,0.02,428.8,10000.0,500.0
3039.0,3.0,0.92,579.0,883.63,500.0
1899.0,5.0,0.11,342.0,5000.0,500.0
3230.0,3.0,0.31,539.2,10000.0,500.0
3789.0,3.0,0.68,377.0,5000.0,18509.20677497533
4207.0,1.0,0.78,718.0,5000.0,21549.82401911197
1435.0,3.0,0.24,304.0,5000.0,500.0
1861.0,3.0,0.78,501.4,5000.0,500.0
1998.0,3.0,0.59,774.0,5000.0,500.0
602.0,4.0,0.35,651.6,10000.0,5428.047793885788
3474.0,4.0,0.71,496.0,1278.27,16752.789752354092
1908.0,5.0,0.47,318.0,5000.0,20423.84320730014
1176.0,0.0,0.32,622.0,5000.0,500.0
3112.0,3.0,0.7,822.0,623.38,500.0
2377.0,3.0,0.44,646.0,5000.0,18901.259369115334
4010.0,2.0,0.57,685.6,10000.0,39894.86850509702
2448.0,3.0,0.33,554.8,10000.0,500.0
4319.0,5.0,0.08,534.8,5000.0,500.0
4897.0,0.0,0.27,768.0,10000.0,35962.04802835945
4231.0,2.0,0.06,670.2,5000.0,500.0
2261.0,3.0,0.73,762.0,734.6,24528.671120857394
645.0,4.0,0.03,818.0,10000.0,500.0
3191.0,3.0,0.74,599.6,10000.0,3639.7413556351794
2452.0,4.0,0.49,380.0,5000.0,500.0
2571.0,2.0,0.41,691.0,10000.0,33049.468422152735
4154.0,3.0,0.76,556.0,5000.0,10656.8885958248
969.0,3.0,0.02,481.0,731.72,500.0
3121.0,1.0,0.72,701.0,5000.0,7051.1771065952
3384.0,3.0,0.65,630.0,10000.0,500.0
2285.0,1.0,0.21,792.0,10000.0,2724.919805153449
2483.0,2.0,0.99,666.0,33.29,26282.620988748466
2466.0,3.0,0.16,801.0,5000.0,5070.610961595275
2684.0,3.0,0.78,588.6,5000.0,15080.08702060483
4243.0,2.0,0.02,359.0,10000.0,14306.900020371317
2265.0,3.0,0.22,569.0,10000.0,6693.74203294808
3055.0,3.0,0.35,385.0,5000.0,1798.0125221383746
4340.0,2.0,0.7,698.0,1004.67,500.0
1676.0,3.0,0.04,657.0,10000.0,500.0
531.0,1.0,0.96,582.2,5000.0,500.0
1733.0,3.0,0.64,711.0,1411.64,6372.475344505444
2743.0,5.0,0.49,506.2,5000.0,16741.9804046619
500.0,2.0,0.23,659.2,5000.0,14504.604268333092
1711.0,5.0,0.53,602.2,5000.0,500.0
3498.0,3.0,0.86,335.0,459.59,12032.654325077505
1882.0,5.0,0.2,570.6,5000.0,28685.37160497041
1084.0,4.0,0.98,820.0,10000.0,500.0
2345.0,3.0,0.86,346.0,5000.0,500.0
2740.0,4.0,0.1,486.0,773.51,6726.144540197254
1704.0,3.0,0.3,679.6,5000.0,500.0
871.0,3.0,0.47,706.0,5000.0,500.0
1127.0,3.0,0.22,830.0,5000.0,5504.582746306162
1526.0,3.0,0.49,359.0,5000.0,8878.890939012841
1797.0,1.0,0.04,595.0,546.16,500.0
2165.0,1.0,0.84,846.0,887.1,500.0
2676.0,3.0,0.46,740.4,5000.0,10124.44495985712
2107.0,5.0,0.84,660.4,688.7,8921.973730630438
2063.0,3.0,0.38,596.8,854.72,6035.446018551712
1290.0,5.0,0.49,331.0,10000.0,8255.660172817976
1313.0,3.0,0.85,805.0,1260.4,5083.612822428259
1029.0,3.0,0.52,473.0,10000.0,500.0
2362.0,4.0,0.39,491.0,5000.0,500.0
2379.0,3.0,0.21,487.0,5000.0,500.0
2170.0,3.0,0.15,568.2,902.3,16629.25199108691
5718.0,5.0,0.62,511.4,5000.0,29125.10607760429
1599.0,3.0,0.35,604.4,5000.0,500.0
609.0,3.0,1.0,638.2,723.68,500.0
3332.0,5.0,0.03,660.0,5000.0,14791.054255033709
2204.0,3.0,0.81,678.2,5000.0,24690.30817151772
3099.0,2.0,0.73,511.4,5000.0,14232.322333697375
1771.0,0.0,0.09,301.0,5000.0,500.0
5431.0,3.0,0.29,505.0,5000.0,27702.156529405507
2979.0,4.0,0.56,376.0,5000.0,30331.9324936551
3192.0,3.0,0.35,563.0,621.78,500.0
3877.0,4.0,0.69,545.0,780.64,26198.455079027182
1772.0,3.0,0.42,543.0,10000.0,12454.328982490384
5181.0,4.0,0.56,664.8,10000.0,14858.463980839962
3746.0,3.0,0.73,708.6,1002.34,16415.71124195981
2952.0,0.0,0.03,630.0,1101.41,24462.730419394706
500.0,3.0,0.38,595.4,672.52,500.0
500.0,2.0,0.2,595.4,921.64,500.0
1863.0,4.0,0.92,604.4,5000.0,14449.054890309168
1363.0,4.0,0.44,505.8,10000.0,500.0
951.0,3.0,0.35,329.0,5000.0,500.0
500.0,3.0,0.26,595.4,10000.0,500.0
2612.0,1.0,0.25,537.2,1616.31,500.0
936.0,2.0,0.28,618.8,5000.0,500.0
1251.0,4.0,0.86,710.0,926.12,4878.545755190827
614.0,5.0,0.95,660.4,821.99,500.0
1899.0,3.0,0.31,312.0,1414.5,23223.68674933023
1541.0,1.0,0.33,633.2,5000.0,500.0
1440.0,3.0,0.06,636.0,948.67,32053.702626437243
4944.0,1.0,0.92,475.8,10000.0,500.0
1103.0,3.0,0.69,602.8,10000.0,500.0
2002.0,0.0,0.23,651.0,5000.0,9001.546015414096
4216.0,3.0,0.29,476.0,10000.0,500.0
2582.0,3.0,0.83,542.0,5000.0,10903.397392817302
863.0,3.0,0.65,323.0,10000.0,500.0
500.0,3.0,0.92,796.0,548.48,24181.38134356665
3318.0,5.0,0.61,529.4,10000.0,2720.813788949977
500.0,3.0,0.5,595.4,5000.0,500.0
1817.0,3.0,0.15,301.0,10000.0,500.0
1224.0,3.0,0.23,597.6,5000.0,11196.8709848394
2237.0,3.0,0.62,540.0,10000.0,4057.591842683427
3210.0,3.0,0.26,779.0,10000.0,30089.662669880072
796.0,3.0,0.88,469.6,5000.0,10822.827044993295
3885.0,3.0,0.5,602.6,10000.0,15757.66361823247
898.0,3.0,0.02,630.0,5000.0,500.0
3582.0,5.0,0.12,453.6,724.76,3735.658720627448
2047.0,3.0,0.1,833.0,957.57,15966.5991061799
3214.0,3.0,0.55,788.0,303.13,7056.806036648549
500.0,0.0,0.14,595.4,5000.0,500.0
3527.0,5.0,0.03,503.0,654.46,500.0
2450.0,2.0,0.86,791.0,10000.0,500.0
2893.0,0.0,0.05,569.4,793.96,500.0
4262.0,3.0,0.89,488.2,10000.0,500.0
2926.0,3.0,0.42,629.0,5000.0,35758.18072081153
2399.0,5.0,0.01,818.0,5000.0,11737.23847284871
1287.0,2.0,0.63,800.0,10000.0,2814.1386162062663
1768.0,2.0,0.71,830.0,5000.0,500.0
1559.0,3.0,0.79,508.6,10000.0,500.0
2632.0,3.0,0.57,587.8,5000.0,11759.638243193413
2798.0,3.0,0.9,617.4,656.99,14866.76807385541
3130.0,3.0,0.82,731.0,5000.0,500.0
1899.0,3.0,0.41,496.0,5000.0,20814.697568663774
3444.0,3.0,0.23,831.0,5000.0,500.0
2603.0,3.0,0.35,608.6,10000.0,30210.987049606567
3656.0,3.0,0.22,594.0,10000.0,3066.137791409429
4084.0,3.0,0.52,748.0,10000.0,9573.778332032196
2306.0,3.0,0.23,849.0,10000.0,4554.810431805047
2384.0,3.0,0.22,588.0,5000.0,6829.661938726994
1713.0,0.0,0.58,803.0,5000.0,500.0
1962.0,1.0,0.7,363.0,10000.0,500.0
2789.0,4.0,0.64,573.0,5000.0,29152.59717199099
3336.0,3.0,0.21,609.6,5000.0,500.0
2623.0,2.0,0.54,562.0,10000.0,4383.465051415476
2699.0,5.0,0.33,441.0,5000.0,8620.740440969317
3059.0,4.0,0.75,481.2,5000.0,500.0
2360.0,3.0,0.87,349.0,10000.0,500.0
4971.0,3.0,0.36,440.6,10000.0,25883.89703555264
500.0,3.0,0.22,744.8,10000.0,2571.4279977966503
3485.0,3.0,0.78,500.0,5000.0,6950.691750123016
989.0,2.0,0.26,843.0,5000.0,12906.990479801343
2538.0,2.0,0.91,458.0,5000.0,21288.40814422946
2830.0,3.0,0.26,546.8,805.29,7501.263720832778
3583.0,0.0,0.39,661.8,615.43,13702.678326689054
2107.0,3.0,0.34,497.8,5000.0,500.0
4405.0,3.0,0.48,500.0,853.79,500.0
962.0,5.0,0.87,601.8,5000.0,14356.8655104378
3271.0,5.0,0.22,547.2,5000.0,17984.913231590494
699.0,4.0,0.82,521.0,989.81,9786.53291738366
4371.0,3.0,0.52,608.6,5000.0,500.0
1464.0,5.0,0.76,391.0,420.05,500.0
4022.0,3.0,0.53,474.0,5000.0,20399.31047104829
2020.0,3.0,0.08,701.0,718.47,500.0
5025.0,3.0,0.38,513.0,10000.0,28688.895789414644
4116.0,5.0,0.42,672.0,5000.0,32226.988031995694
3767.0,3.0,0.32,537.0,5000.0,500.0
3955.0,4.0,0.94,554.2,933.28,10639.305587861045
1808.0,3.0,0.76,432.6,766.8,5630.096497060186
2649.0,3.0,0.03,471.0,10000.0,500.0
2483.0,4.0,0.71,721.0,10000.0,500.0
1371.0,5.0,0.94,453.6,1069.99,500.0
2340.0,2.0,0.06,691.2,10000.0,15184.584884713417
2906.0,1.0,0.44,662.0,1166.1,29132.162879314223
5718.0,3.0,0.42,777.0,519.12,15351.456734074622
1587.0,3.0,0.73,845.0,5000.0,500.0
1513.0,3.0,0.65,682.0,5000.0,500.0
3352.0,1.0,0.01,647.6,5000.0,500.0
2962.0,4.0,0.4,517.2,1042.69,500.0
3531.0,3.0,0.4,521.0,622.09,8280.067769939777
2014.0,3.0,0.29,527.6,5000.0,500.0
5607.0,3.0,0.4,775.0,5000.0,500.0
2099.0,3.0,0.38,681.6,5000.0,15284.764778404458
1534.0,5.0,0.05,500.6,10000.0,20138.50357849674
930.0,1.0,0.46,303.0,10000.0,8042.88785006186
3907.0,3.0,0.14,498.8,579.29,500.0
4632.0,3.0,0.41,547.4,54.98,16683.472226033566
884.0,1.0,0.13,698.0,5000.0,500.0
2445.0,5.0,0.85,438.0,5000.0,500.0
2408.0,4.0,0.29,697.0,5000.0,2050.7157398082786
2262.0,2.0,0.48,585.2,5000.0,500.0
2618.0,3.0,0.2,469.2,5000.0,8886.31357750079
2298.0,0.0,0.7,622.0,10000.0,500.0
2425.0,3.0,0.33,708.0,10000.0,23210.797866626606
3247.0,2.0,0.79,502.0,5000.0,5257.865301498262
1217.0,0.0,0.5,493.0,437.78,500.0
1382.0,1.0,0.97,460.0,1228.62,500.0
1866.0,3.0,0.94,606.6,10000.0,500.0
1517.0,1.0,0.06,691.6,5000.0,500.0
2501.0,3.0,0.6,458.0,567.95,24670.306600109925
3893.0,3.0,0.33,760.0,10000.0,7977.963403126492
1915.0,0.0,0.7,472.4,758.8,500.0
4917.0,3.0,0.53,607.0,10000.0,13179.96915777943
1393.0,2.0,0.99,624.2,5000.0,500.0
5582.0,0.0,0.83,674.4,802.5,32624.62424784305
4456.0,3.0,0.44,545.0,930.0,20788.62505341787
4222.0,3.0,0.03,531.0,691.24,500.0
4100.0,0.0,0.21,743.0,5000.0,500.0
3149.0,3.0,0.85,600.0,688.67,22092.708515061127
2152.0,4.0,0.88,610.8,5000.0,500.0
2652.0,1.0,0.21,667.8,10000.0,500.0
1522.0,1.0,0.09,450.0,5000.0,500.0
1290.0,2.0,0.38,552.4,127.1,16857.98479163118
3351.0,0.0,0.18,513.2,10000.0,22455.43441767607
3613.0,4.0,0.21,749.0,5000.0,500.0
1664.0,3.0,0.85,579.4,10000.0,500.0
3269.0,4.0,1.0,470.0,5000.0,500.0
3928.0,3.0,0.11,754.0,5000.0,34295.832598520334
3416.0,4.0,0.89,601.0,5000.0,18587.129442140165
3905.0,1.0,0.05,440.0,10000.0,18399.61442914501
4166.0,3.0,0.42,584.6,297.59,500.0
1552.0,3.0,0.9,519.2,748.17,500.0
1028.0,3.0,0.3,317.0,1018.92,500.0
3156.0,3.0,0.71,524.8,5000.0,500.0
2970.0,3.0,0.12,572.0,10000.0,500.0
1508.0,2.0,0.46,531.0,10000.0,500.0
4631.0,3.0,0.03,634.6,5000.0,36033.114778201976
2098.0,3.0,0.61,844.0,5000.0,500.0
4698.0,5.0,0.67,627.0,5000.0,30376.436480777666
1445.0,3.0,0.03,617.6,10000.0,500.0
1633.0,3.0,0.58,509.8,10000.0,2580.1153810490573
2761.0,3.0,0.85,548.6,5000.0,500.0
1791.0,3.0,0.99,424.0,5000.0,19556.79249643196
5718.0,2.0,0.4,531.6,5000.0,19764.347867278266
1255.0,3.0,0.03,327.0,1035.16,500.0
2501.0,3.0,0.77,841.0,5000.0,8951.748512055701
1439.0,0.0,0.44,509.0,5000.0,500.0
2884.0,0.0,0.55,408.0,10000.0,22144.99931479974
4878.0,3.0,0.58,700.0,5000.0,32308.384532419597
3148.0,3.0,0.31,534.6,1268.3,25707.40229811243
1623.0,3.0,0.08,544.0,5000.0,15491.537251224858
2066.0,3.0,0.49,609.8,5000.0,16226.947381582757
1996.0,5.0,0.44,629.4,5000.0,11326.25449697811
1835.0,3.0,0.76,457.0,837.09,500.0
500.0,2.0,0.78,595.4,5000.0,500.0
500.0,3.0,0.94,400.0,676.85,10725.625743409684
1191.0,4.0,0.74,566.0,704.13,3326.8459813784034
2143.0,3.0,0.23,626.0,5000.0,500.0
706.0,2.0,0.51,652.0,703.03,21170.17087603601
4170.0,1.0,0.95,554.6,5000.0,500.0
3486.0,3.0,0.92,557.0,648.73,3269.816402584081
3511.0,0.0,0.55,705.0,5000.0,500.0
1740.0,3.0,0.85,428.0,742.23,500.0
2227.0,5.0,0.18,520.8,5000.0,500.0
2137.0,3.0,0.66,317.0,10000.0,500.0
2480.0,3.0,0.97,355.0,10000.0,500.0
2782.0,3.0,0.87,584.0,5000.0,8052.316794480487
2397.0,3.0,0.97,809.0,5000.0,500.0
1942.0,4.0,0.84,321.0,5000.0,15686.78132850265
2475.0,3.0,0.98,624.8,5000.0,25720.956678722483
1034.0,2.0,0.83,473.0,10000.0,500.0
640.0,3.0,0.35,411.0,5000.0,500.0
2657.0,5.0,0.46,505.6,646.33,500.0
3901.0,5.0,0.72,684.0,5000.0,3727.548198082763
2686.0,5.0,0.6,817.0,5000.0,22474.032687219635
1341.0,3.0,0.55,680.6,1603.34,500.0
1663.0,3.0,0.17,687.0,10000.0,14645.02503793896
4074.0,3.0,0.29,380.6,10000.0,500.0
3673.0,4.0,0.1,425.0,5000.0,1039.6814070236503
1783.0,3.0,0.85,511.2,10000.0,10698.689308826526
4054.0,3.0,0.62,566.0,5000.0,31326.215437795137
3967.0,5.0,0.93,525.0,10000.0,9547.31726536674
1195.0,3.0,0.03,679.8,5000.0,500.0
3104.0,3.0,0.84,763.0,10000.0,24714.428346144625
1625.0,3.0,0.58,479.0,10000.0,15784.65644627697
2967.0,3.0,0.42,738.0,1129.56,32043.77956862413
1518.0,3.0,0.54,600.2,10000.0,20371.989900380795
984.0,3.0,0.15,604.8,235.98,500.0
2295.0,3.0,0.13,578.0,10000.0,500.0
2011.0,1.0,0.53,805.0,5000.0,1113.829489318093
3034.0,3.0,0.19,646.8,831.9,19524.748467578767
3667.0,2.0,0.4,580.0,5000.0,9768.568084750788
3003.0,3.0,0.46,542.8,270.22,500.0
2906.0,3.0,0.26,607.8,10000.0,500.0
3289.0,3.0,0.83,494.0,5000.0,500.0
1699.0,3.0,0.22,636.0,5000.0,500.0
2910.0,3.0,0.57,505.0,1089.39,3478.2784107224384
2204.0,3.0,0.87,539.4,841.35,500.0
2991.0,2.0,0.68,574.8,5000.0,3956.1305457758576
1246.0,0.0,0.74,426.2,5000.0,500.0
3065.0,3.0,0.85,488.0,10000.0,500.0
500.0,3.0,0.23,439.0,5000.0,500.0
3091.0,3.0,0.35,377.0,5000.0,15788.97905842714
3298.0,3.0,0.53,784.0,250.23,15117.602265736034
2225.0,2.0,0.15,650.0,10000.0,14448.913633781498
2352.0,1.0,0.7,535.0,5000.0,25896.143475960027
1659.0,4.0,0.44,684.0,10000.0,20424.118436131917
4499.0,3.0,0.69,437.0,10000.0,19896.889771322905
2488.0,1.0,0.74,484.0,5000.0,6745.451611897515
3375.0,1.0,0.62,571.0,5000.0,9432.456600866117
2072.0,5.0,0.42,461.0,5000.0,500.0
4057.0,4.0,0.03,326.0,5000.0,32056.67702970769
4060.0,3.0,0.87,616.0,568.92,2685.6457974789305
4320.0,3.0,0.78,567.0,5000.0,500.0
500.0,3.0,0.33,595.4,1028.04,500.0
1226.0,3.0,0.87,464.0,10000.0,25448.706079561383
1034.0,3.0,0.24,649.2,10000.0,22411.66864137075
1519.0,3.0,0.72,592.6,849.57,500.0
500.0,3.0,0.04,475.0,10000.0,26151.816919055123
1380.0,3.0,0.04,511.6,10000.0,500.0
2287.0,3.0,0.61,453.4,5000.0,18779.775335854243
1214.0,3.0,0.33,573.6,10000.0,500.0
1009.0,3.0,0.66,616.8,5000.0,500.0
2174.0,3.0,0.37,544.0,827.23,26627.317359352768
2151.0,5.0,0.75,628.0,5000.0,500.0
1185.0,3.0,0.27,603.6,5000.0,500.0
1349.0,3.0,0.0,646.0,10000.0,2970.217234330531
2567.0,3.0,0.87,672.0,10000.0,2682.73230928322
3168.0,1.0,0.91,497.2,812.64,21583.85196791177
3212.0,2.0,0.24,715.8,5000.0,22800.89475109125
3343.0,2.0,0.93,348.0,962.72,6134.9710680646285
3117.0,0.0,0.95,389.2,5000.0,500.0
1289.0,5.0,0.98,748.6,10000.0,500.0
2980.0,1.0,0.59,646.8,5000.0,19494.724237604543
1470.0,3.0,0.4,414.0,350.55,10180.619908660536
2492.0,3.0,0.94,575.8,5000.0,9462.275864934223
2442.0,3.0,0.8,581.6,802.31,19265.862598404117
1907.0,5.0,0.14,531.6,414.25,500.0
4988.0,3.0,0.34,328.0,5000.0,39894.86850509702
2709.0,2.0,0.59,522.0,10000.0,500.0
2856.0,3.0,0.85,473.8,956.96,500.0
1697.0,2.0,0.24,340.0,567.06,500.0
3616.0,3.0,0.98,655.6,5000.0,500.0
1938.0,5.0,0.43,486.6,10000.0,500.0
3205.0,3.0,0.22,374.0,5000.0,500.0
568.0,3.0,0.5,775.0,10000.0,1254.7930227582888
1485.0,3.0,0.76,503.8,-89.16,13622.226242960123
3549.0,3.0,0.96,558.0,5000.0,500.0
1337.0,3.0,0.76,597.6,10000.0,11388.69952766574
1904.0,3.0,0.2,573.0,10000.0,10791.105372433178
2262.0,3.0,0.72,794.0,5000.0,16085.86547001797
500.0,2.0,0.69,596.0,10000.0,18955.86650945091
3839.0,3.0,0.47,383.0,5000.0,33841.40719796205
2784.0,3.0,0.95,550.0,5000.0,12512.590261056705
2313.0,3.0,0.35,650.0,1187.95,20847.421828189872
2013.0,1.0,0.94,455.0,5000.0,500.0
3102.0,3.0,0.8,793.0,5000.0,10455.281361547186
2915.0,3.0,0.03,579.2,5000.0,23418.10856886971
2802.0,3.0,0.74,716.0,336.97,24038.777163130195
546.0,3.0,0.43,509.8,5000.0,500.0
1360.0,2.0,0.39,561.0,5000.0,34232.663162465586
2174.0,1.0,0.35,654.6,5000.0,8190.753263564347
1350.0,3.0,0.12,510.8,1059.28,500.0
5329.0,0.0,0.58,504.6,10000.0,500.0
2484.0,3.0,0.12,742.0,975.69,21369.24419698963
1476.0,5.0,0.59,627.0,5000.0,500.0
2950.0,5.0,0.98,381.0,635.04,8579.126158269033
1623.0,0.0,0.44,358.0,5000.0,500.0
2235.0,3.0,0.44,651.0,10000.0,1262.3235537061464
1773.0,3.0,0.19,594.0,5000.0,24298.23407125733
2784.0,3.0,0.89,744.0,10000.0,23796.97803650985
2834.0,2.0,0.6,641.2,10000.0,7275.274272172118
1985.0,2.0,0.31,631.2,10000.0,500.0
3481.0,3.0,0.23,433.0,5000.0,3947.212086700677
3389.0,0.0,0.06,806.0,5000.0,500.0
1096.0,3.0,0.62,663.2,10000.0,500.0
5718.0,3.0,0.98,708.0,5000.0,36789.61777025862
3724.0,3.0,0.69,661.4,10000.0,21122.961389310374
3974.0,3.0,0.06,545.0,5000.0,24841.31563523786
500.0,2.0,0.55,755.4,821.9,2652.4243939331814
4021.0,3.0,0.43,404.0,10000.0,21298.81579596581
4364.0,0.0,0.48,647.2,5000.0,30990.60213328678
2944.0,4.0,0.55,515.8,627.48,16790.505552595772
2820.0,3.0,0.88,752.0,5000.0,12235.719171269016
2026.0,3.0,0.04,736.0,5000.0,500.0
3895.0,4.0,0.28,305.0,10000.0,26830.76427175912
2846.0,2.0,0.24,580.2,5000.0,500.0
2570.0,3.0,0.71,326.0,5000.0,26943.41956696861
1787.0,4.0,0.94,335.0,1028.93,500.0
1374.0,3.0,0.34,614.6,1154.01,500.0
2480.0,3.0,0.76,694.0,10000.0,10179.386859557331
2488.0,3.0,0.22,354.0,10000.0,500.0
2324.0,2.0,0.66,387.0,10000.0,500.0
2303.0,2.0,0.69,378.0,1283.23,500.0
2380.0,3.0,0.63,507.2,5000.0,500.0
2663.0,3.0,0.49,655.0,352.86,10047.717232069095
500.0,3.0,0.97,696.0,10000.0,500.0
3360.0,5.0,0.3,732.0,5000.0,19703.480412800287
2353.0,3.0,0.65,345.0,10000.0,5889.092729643717
500.0,3.0,0.8,557.0,1175.47,23936.14710913469
